Player,Nation,Pos,Squad,Comp,Age,Min,MP,Gls,Ast,G+A,G-PK,PK,xG,xAG,npxG,npxG+xAG,PrgC,PrgP,PrgR,CrdY,CrdR,Gls/90,Ast/90,xG/90,market_value_eur_M,over_xG,cluster,cluster_label,GA_pred_lr,GA_pred_rf,xG_diff
Harrison Reed,eng ENG,MF,Fulham,eng Premier League,29.0,108,12,0,0,0,0,0,0.2,0.1,0.2,0.3,1,4,7,2,0,0.0,0.0,0.167,18.4,0,0,Mediocampista Creativo,-0.01,0.07,-0.2
Sergio Reguilón,es ESP,DF,Tottenham,eng Premier League,27.0,196,4,0,0,0,0,0,0.1,0.0,0.1,0.1,5,13,12,2,0,0.0,0.0,0.045,12.1,0,0,Mediocampista Creativo,-0.18,0.0,-0.1
Tijjani Reijnders,nl NED,MF,Milan,it Serie A,26.0,3128,37,10,4,14,10,0,7.5,3.5,7.5,11.0,111,230,121,2,1,0.287,0.115,0.216,96.3,1,1,Delantero Goleador,11.94,14.0,2.5
Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,22.0,1830,27,2,1,3,2,0,1.7,2.1,1.7,3.8,18,91,30,1,0,0.099,0.049,0.084,34.6,1,1,Delantero Goleador,3.73,3.02,0.3
Nicolai Remberg,de GER,MF,Holstein Kiel,de Bundesliga,24.0,2417,32,0,1,1,0,0,1.5,0.8,1.5,2.3,25,80,31,11,0,0.0,0.037,0.056,23.4,0,1,Delantero Goleador,2.26,1.65,-1.5
Devyne Rensch,nl NED,DF,Roma,it Serie A,21.0,469,14,0,1,1,0,0,0.3,0.8,0.3,1.0,2,14,25,0,0,0.0,0.192,0.058,14.2,0,0,Mediocampista Creativo,0.78,1.05,-0.3
Mateo Retegui,it ITA,FW,Atalanta,it Serie A,25.0,2383,36,25,8,33,21,4,18.9,4.9,14.9,19.8,21,46,199,3,0,0.943,0.302,0.713,200.0,1,1,Delantero Goleador,24.93,28.97,6.1
Elvis Rexhbeçaj,xk KVX,MF,Augsburg,de Bundesliga,26.0,1785,27,1,1,2,1,0,1.4,1.1,1.4,2.5,31,94,82,8,0,0.051,0.051,0.071,28.6,0,1,Delantero Goleador,2.5,2.11,-0.4
Gio Reyna,us USA,MF,Dortmund,de Bundesliga,21.0,350,16,2,0,2,2,0,0.2,0.2,0.2,0.4,5,22,19,3,0,0.513,0.0,0.051,29.2,1,0,Mediocampista Creativo,0.13,1.4,1.8
Chadi Riad,ma MAR,DF,Crystal Palace,eng Premier League,21.0,90,1,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,0,0,0,0.0,0.0,0.0,12.0,0,0,Mediocampista Creativo,-0.31,0.0,0.0
Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,24.0,2700,30,1,1,2,1,0,1.6,0.4,1.6,2.0,25,178,8,10,0,0.033,0.033,0.053,19.3,0,1,Delantero Goleador,2.17,1.8,-0.6
Samuele Ricci,it ITA,MF,Torino,it Serie A,22.0,2825,34,1,1,2,1,0,1.3,0.6,1.3,1.8,43,116,30,8,1,0.032,0.032,0.041,28.4,0,1,Delantero Goleador,1.98,1.94,-0.3
Declan Rice,eng ENG,MF,Arsenal,eng Premier League,25.0,2825,35,4,7,11,4,0,3.5,6.6,3.5,10.1,90,192,94,7,1,0.127,0.223,0.111,64.8,1,1,Delantero Goleador,10.43,10.56,0.5
